kode_kabupaten_kota,nama_kabupaten_kota,jumlah,jenis_akomodasi,tahun
3215,KABUPATEN KARAWANG,5,PERKEMAHAN,2018
3215,KABUPATEN KARAWANG,34,HOTEL,2019
3215,KABUPATEN KARAWANG,36,HOMESTAY,2019
3215,KABUPATEN KARAWANG,7,PERKEMAHAN,2019
3215,KABUPATEN KARAWANG,34,HOTEL,2020
3215,KABUPATEN KARAWANG,77,HOMESTAY,2020
3215,KABUPATEN KARAWANG,7,PERKEMAHAN,2020
3215,KABUPATEN KARAWANG,34,HOTEL,2021
3215,KABUPATEN KARAWANG,77,HOMESTAY,2021
3215,KABUPATEN KARAWANG,7,PERKEMAHAN,2021
3216,KABUPATEN BEKASI,4,HOTEL,2014
3216,KABUPATEN BEKASI,0,PERKEMAHAN,2014
3216,KABUPATEN BEKASI,4,HOTEL,2015
3216,KABUPATEN BEKASI,0,PERKEMAHAN,2015
3216,KABUPATEN BEKASI,4,HOTEL,2016
3216,KABUPATEN BEKASI,0,PERKEMAHAN,2016
3216,KABUPATEN BEKASI,4,HOTEL,2017
3216,KABUPATEN BEKASI,0,PERKEMAHAN,2017
3216,KABUPATEN BEKASI,87,HOTEL,2018
3216,KABUPATEN BEKASI,0,HOMESTAY,2018
3216,KABUPATEN BEKASI,1,PERKEMAHAN,2018
3216,KABUPATEN BEKASI,38,HOTEL,2019
3216,KABUPATEN BEKASI,0,HOMESTAY,2019
3216,KABUPATEN BEKASI,1,PERKEMAHAN,2019
3216,KABUPATEN BEKASI,44,HOTEL,2020
3216,KABUPATEN BEKASI,0,HOMESTAY,2020
3216,KABUPATEN BEKASI,0,PERKEMAHAN,2020
3216,KABUPATEN BEKASI,42,HOTEL,2021
3216,KABUPATEN BEKASI,0,HOMESTAY,2021
3216,KABUPATEN BEKASI,0,PERKEMAHAN,2021
3217,KABUPATEN BANDUNG BARAT,8,HOTEL,2014
3217,KABUPATEN BANDUNG BARAT,3,PERKEMAHAN,2014
3217,KABUPATEN BANDUNG BARAT,8,HOTEL,2015
3217,KABUPATEN BANDUNG BARAT,3,PERKEMAHAN,2015
3217,KABUPATEN BANDUNG BARAT,8,HOTEL,2016
3217,KABUPATEN BANDUNG BARAT,3,PERKEMAHAN,2016
3217,KABUPATEN BANDUNG BARAT,8,HOTEL,2017
3217,KABUPATEN BANDUNG BARAT,3,PERKEMAHAN,2017
3217,KABUPATEN BANDUNG BARAT,97,HOTEL,2018
3217,KABUPATEN BANDUNG BARAT,66,HOMESTAY,2018
3217,KABUPATEN BANDUNG BARAT,7,PERKEMAHAN,2018
3217,KABUPATEN BANDUNG BARAT,99,HOTEL,2019
3217,KABUPATEN BANDUNG BARAT,85,HOMESTAY,2019
3217,KABUPATEN BANDUNG BARAT,8,PERKEMAHAN,2019
3217,KABUPATEN BANDUNG BARAT,289,HOTEL,2020
3217,KABUPATEN BANDUNG BARAT,85,HOMESTAY,2020
3217,KABUPATEN BANDUNG BARAT,8,PERKEMAHAN,2020
3217,KABUPATEN BANDUNG BARAT,289,HOTEL,2021
3217,KABUPATEN BANDUNG BARAT,59,HOMESTAY,2021
3217,KABUPATEN BANDUNG BARAT,8,PERKEMAHAN,2021
3218,KABUPATEN PANGANDARAN,0,HOTEL,2015
3218,KABUPATEN PANGANDARAN,0,PERKEMAHAN,2015
3218,KABUPATEN PANGANDARAN,0,HOTEL,2016
